dataset,instancia,n,m,archivo
peor-caso-ga,G-88,88,3828.0,instancias/peor-caso-ga/G-88.txt
peor-caso-ga,G-89,89,3916.0,instancias/peor-caso-ga/G-89.txt
peor-caso-ga,G-90,90,4005.0,instancias/peor-caso-ga/G-90.txt
peor-caso-ga,G-91,91,4095.0,instancias/peor-caso-ga/G-91.txt
peor-caso-ga,G-92,92,4186.0,instancias/peor-caso-ga/G-92.txt
peor-caso-ga,G-93,93,4278.0,instancias/peor-caso-ga/G-93.txt
peor-caso-ga,G-94,94,4371.0,instancias/peor-caso-ga/G-94.txt
peor-caso-ga,G-95,95,4465.0,instancias/peor-caso-ga/G-95.txt
peor-caso-ga,G-96,96,4560.0,instancias/peor-caso-ga/G-96.txt
peor-caso-ga,G-97,97,4656.0,instancias/peor-caso-ga/G-97.txt
peor-caso-ga,G-98,98,4753.0,instancias/peor-caso-ga/G-98.txt
peor-caso-ga,G-99,99,4851.0,instancias/peor-caso-ga/G-99.txt
peor-caso-ga,G-100,100,4950.0,instancias/peor-caso-ga/G-100.txt
peor-caso-ga,G-101,101,5050.0,instancias/peor-caso-ga/G-101.txt
peor-caso-ga,G-102,102,5151.0,instancias/peor-caso-ga/G-102.txt
